danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.864,0.476,1,-10.068,1,0.436,0.0374,0.0,0.374,0.647,157.144,audio_features,1vrFJDrysqmsNAgyjBzx4f,spotify:track:1vrFJDrysqmsNAgyjBzx4f,https://api.spotify.com/v1/tracks/1vrFJDrysqmsNAgyjBzx4f,https://api.spotify.com/v1/audio-analysis/1vrFJDrysqmsNAgyjBzx4f,137580,4
0.545,0.641,10,-6.398,0,0.0998,0.00453,6.59e-05,0.171,0.464,121.892,audio_features,1Hohk6AufHZOrrhMXZppax,spotify:track:1Hohk6AufHZOrrhMXZppax,https://api.spotify.com/v1/tracks/1Hohk6AufHZOrrhMXZppax,https://api.spotify.com/v1/audio-analysis/1Hohk6AufHZOrrhMXZppax,215460,4
0.629,0.698,8,-4.485,1,0.308,0.0509,0.00166,0.0909,0.599,117.765,audio_features,0UvZcEfpzVyx47QsRbjyBz,spotify:track:0UvZcEfpzVyx47QsRbjyBz,https://api.spotify.com/v1/tracks/0UvZcEfpzVyx47QsRbjyBz,https://api.spotify.com/v1/audio-analysis/0UvZcEfpzVyx47QsRbjyBz,201816,4
0.732,0.703,11,-7.224,1,0.0314,0.104,0.0417,0.109,0.836,108.979,audio_features,5DRnssBoVo8e7uAQZkNT8O,spotify:track:5DRnssBoVo8e7uAQZkNT8O,https://api.spotify.com/v1/tracks/5DRnssBoVo8e7uAQZkNT8O,https://api.spotify.com/v1/audio-analysis/5DRnssBoVo8e7uAQZkNT8O,156772,4
0.827,0.768,0,-5.702,1,0.265,0.79,2.45e-05,0.497,0.734,99.988,audio_features,2FYGZDfsAnNsrm1gVbyKnG,spotify:track:2FYGZDfsAnNsrm1gVbyKnG,https://api.spotify.com/v1/tracks/2FYGZDfsAnNsrm1gVbyKnG,https://api.spotify.com/v1/audio-analysis/2FYGZDfsAnNsrm1gVbyKnG,137533,4
0.773,0.422,1,-4.572,0,0.187,0.00783,0.00693,0.129,0.488,77.502,audio_features,3XOalgusokruzA5ZBA2Qcb,spotify:track:3XOalgusokruzA5ZBA2Qcb,https://api.spotify.com/v1/tracks/3XOalgusokruzA5ZBA2Qcb,https://api.spotify.com/v1/audio-analysis/3XOalgusokruzA5ZBA2Qcb,136267,1
0.824,0.618,5,-5.435,0,0.0656,0.0132,0.0,0.0872,0.676,120.028,audio_features,7uvxkcv7FWVh4wE91I8Bi2,spotify:track:7uvxkcv7FWVh4wE91I8Bi2,https://api.spotify.com/v1/tracks/7uvxkcv7FWVh4wE91I8Bi2,https://api.spotify.com/v1/audio-analysis/7uvxkcv7FWVh4wE91I8Bi2,243236,4
0.686,0.494,1,-7.093,1,0.0355,0.613,5.8e-05,0.402,0.7,168.946,audio_features,4k6Uh1HXdhtusDW5y8Gbvy,spotify:track:4k6Uh1HXdhtusDW5y8Gbvy,https://api.spotify.com/v1/tracks/4k6Uh1HXdhtusDW5y8Gbvy,https://api.spotify.com/v1/audio-analysis/4k6Uh1HXdhtusDW5y8Gbvy,232067,4
0.52,0.731,6,-5.338,0,0.0557,0.342,0.00101,0.311,0.662,173.93,audio_features,4Dvkj6JhhA12EX05fT7y2e,spotify:track:4Dvkj6JhhA12EX05fT7y2e,https://api.spotify.com/v1/tracks/4Dvkj6JhhA12EX05fT7y2e,https://api.spotify.com/v1/audio-analysis/4Dvkj6JhhA12EX05fT7y2e,167303,4
0.369,0.192,4,-12.151,0,0.04,0.555,8.35e-06,0.0954,0.148,175.212,audio_features,3WMj8moIAXJhHsyLaqIIHI,spotify:track:3WMj8moIAXJhHsyLaqIIHI,https://api.spotify.com/v1/tracks/3WMj8moIAXJhHsyLaqIIHI,https://api.spotify.com/v1/audio-analysis/3WMj8moIAXJhHsyLaqIIHI,228013,3
