Artist,Song
Teddy Swims,Lose Control
Benson Boone,Beautiful Things
Ariana Grande,We Can't Be Friends (Wait For Your Love)
Jack Harlow,Lovin On Me
¥$: Ye & Ty Dolla $ign Featuring Rich The Kid & Playboi Carti,Carnival
Beyonce,Texas Hold 'Em
Zach Bryan Featuring Kacey Musgraves,I Remember Everything
Tate McRae,Greedy
Cardi B,Enough (Miami)
Taylor Swift,Cruel Summer
Djo,End Of Beginning
Noah Kahan,Stick Season
Doja Cat,Agora Hills
SZA,Snooze
Flo Milli,Never Lose Me
Morgan Wallen,Last Night
SZA,Saturn
Luke Combs,Fast Car
4Batz Featuring Drake,Act II: Date @ 8
Tyla,Water
Morgan Wallen,Thinkin' Bout Me
21 Savage,Redrum
Sexyy Red,Get It Sexyy
Bryson Tiller,Whatever She Wants
Muni Long,Made For Me
Sabrina Carpenter,Feather
HARDY,Truck Bed
Morgan Wallen Featuring Eric Church,Man Made A Bar
Dua Lipa,Houdini
Justin Timberlake,Selfish
Taylor Swift,Is It Over Now? (Taylor's Version) [From The Vault]
Doja Cat,Paint The Town Red
Billie Eilish,What Was I Made For?
Ariana Grande,The Boy Is Mine
GloRilla,Yeah Glo!
Ariana Grande,"Yes, And?"
Jessie Murph & Jelly Roll,Wild Ones
Jelly Roll With Lainey Wilson,Save Me
Warren Zeiders,Pretty Little Poison
Ariana Grande,Supernatural
Luke Combs,Where The Wild Things Are
Parker McCollum,Burn It Down
Tate McRae,Exes
Xavi,La Diabla
Chayce Beckham,23
Olivia Rodrigo,Vampire
Travis Scott Featuring Playboi Carti,FE!N
Lainey Wilson,Wildflowers And Wild Horses
Ariana Grande,Eternal Sunshine
BossMan Dlow,Get In With Me
Nicki Minaj Featuring Lil Uzi Vert,Everybody
Ariana Grande,Bye
310babii,Soak City
Gunna Featuring Offset,Prada Dem
Thomas Rhett Featuring Morgan Wallen,Mamaw's House
Michael Marcagi,Scared To Start
JID Featuring 21 Savage & Baby Tate,Surround Sound
"The Weeknd, Jennie & Lily Rose Depp",One Of The Girls
Dasha,Austin
Don Toliver,Bandit
Dua Lipa,Training Season
YG Marley,Praise Jah In The Moonlight
Kane Brown,I Can Feel It
Yeat,Breathe
V,FRI(END)S
Ariana Grande,True Story
Bailey Zimmerman,Where It Ends
Ariana Grande,Don't Wanna Break Up Again
Drake,You Broke My Heart
BigXthaPlug,Mmhmm
Nicki Minaj,FTCU
Ariana Grande,Imperfect For You
Chris Brown Featuring Davido & Lojay,Sensational
Fuerza Regida,Tu Name
Rich Amiri,One Call
Kacey Musgraves,Deeper Well
Xavi,La Victima
Morgan Wallen,Spin You Around (1/24)
Ariana Grande,Intro (End Of The World)
Good Neighbours,Home
Jordan Davis,Tucson Too Late
Fuerza Regida & Marshmello,Harley Quinn
Tyler Hubbard,Back Then Right Now
Bad Bunny & Feid,Perro Negro
Ariana Grande,I Wish I Hated You
Sophie Ellis-Bextor,Murder On The Dancefloor
Dylan Gossett,Coal
Key Glock,Let's Go
"21 Savage, Travis Scott & Metro Boomin",Nee-nah
Peso Pluma & Anitta,Bellakeo
Cardi B,Like What (Freestyle)
Sam Hunt,Outskirts
BossMan Dlow,Mr Pot Scraper
Bailey Zimmerman,Holy Smokes
Ivan Cornejo,Baby Please
Bryan Martin,We Ride
Zach Bryan,Tourniquet
FloyyMenor X Cris Mj,Gata Only
Kali Uchis & Peso Pluma,Igual Que Un Angel
Carly Pearce Featuring Chris Stapleton,We Don't Fight Anymore
